"site_id","year","gdd_wtr_5c","annual_har_w","wbic","cpe","tri_harvest","stocking_weight","survey_time_cpue","survey_time_har","state","species"
"nhdhr_120020643",1980,1997.156593,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1981,2051.619441,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1982,1963.316543,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1983,2166.730196,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1984,2001.528709,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1985,1872.059383,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1986,1993.013391,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1987,2162.230858,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1988,2182.959009,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1989,1994.693353,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1990,2003.449218,2888.93617021277,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1991,2112.866608,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1992,1777.792744,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1993,1745.895074,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1994,2074.35769,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1995,2047.458112,-999,16025200,2.89,0,0,6,4,"MN","SB"
"nhdhr_120020643",1996,1997.311953,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1997,1956.991908,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1998,2310.892433,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",1999,2068.191359,-999,16025200,0.56,0,0,6,4,"MN","SB"
"nhdhr_120020643",2000,1991.669996,1058.5,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",2001,2198.990329,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",2002,2048.0479,23.1338028169014,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",2003,2217.887949,22.972027972028,16025200,2.25,0,0,6,4,"MN","SB"
"nhdhr_120020643",2004,1907.800898,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",2005,2295.227559,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",2006,2292.684207,-999,16025200,1,0,0,6,4,"MN","SB"
"nhdhr_120020643",2007,2308.723737,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",2008,2016.093119,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",2009,1841.823158,-999,16025200,2.33,0,0,6,4,"MN","SB"
"nhdhr_120020643",2010,2238.659521,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",2011,2168.144495,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",2012,2273.634208,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",2013,2121.812012,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",2014,2004.381356,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",2015,2240.184102,-999,16025200,3.5,0,0,6,4,"MN","SB"
"nhdhr_120020643",2016,2367.303503,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",2017,2179.697325,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",2018,2305.575599,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",2019,2023.421468,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120020643",2020,2141.54002,-999,16025200,-999,0,0,6,4,"MN","SB"
"nhdhr_120018114",1980,2929.307141,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1980,2929.307141,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1980,2929.307141,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1980,2929.307141,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1980,2929.307141,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1980,2929.307141,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1980,2929.307141,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1980,2929.307141,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1980,2929.307141,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1980,2929.307141,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1981,2953.741749,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1981,2953.741749,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1981,2953.741749,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1981,2953.741749,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1981,2953.741749,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1981,2953.741749,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1981,2953.741749,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1981,2953.741749,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1981,2953.741749,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1981,2953.741749,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1982,2909.756646,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1982,2909.756646,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1982,2909.756646,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1982,2909.756646,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1982,2909.756646,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1982,2909.756646,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1982,2909.756646,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1982,2909.756646,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1982,2909.756646,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1982,2909.756646,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1983,3027.466212,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1983,3027.466212,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1983,3027.466212,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1983,3027.466212,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1983,3027.466212,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1983,3027.466212,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1983,3027.466212,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1983,3027.466212,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1983,3027.466212,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1983,3027.466212,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1984,2856.070323,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1984,2856.070323,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1984,2856.070323,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1984,2856.070323,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1984,2856.070323,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1984,2856.070323,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1984,2856.070323,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1984,2856.070323,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1984,2856.070323,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1984,2856.070323,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1985,2834.413271,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1985,2834.413271,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1985,2834.413271,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1985,2834.413271,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1985,2834.413271,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1985,2834.413271,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1985,2834.413271,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1985,2834.413271,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1985,2834.413271,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1985,2834.413271,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1986,2962.934895,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1986,2962.934895,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1986,2962.934895,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1986,2962.934895,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1986,2962.934895,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1986,2962.934895,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1986,2962.934895,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1986,2962.934895,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1986,2962.934895,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1986,2962.934895,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1987,3134.262613,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1987,3134.262613,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1987,3134.262613,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1987,3134.262613,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1987,3134.262613,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1987,3134.262613,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1987,3134.262613,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1987,3134.262613,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1987,3134.262613,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1987,3134.262613,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1988,2984.73767,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1988,2984.73767,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1988,2984.73767,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1988,2984.73767,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1988,2984.73767,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1988,2984.73767,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1988,2984.73767,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1988,2984.73767,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1988,2984.73767,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1988,2984.73767,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1989,2839.743672,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1989,2839.743672,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1989,2839.743672,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1989,2839.743672,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1989,2839.743672,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1989,2839.743672,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1989,2839.743672,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1989,2839.743672,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1989,2839.743672,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1989,2839.743672,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1990,2945.105825,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1990,2945.105825,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1990,2945.105825,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1990,2945.105825,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1990,2945.105825,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1990,2945.105825,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1990,2945.105825,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1990,2945.105825,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1990,2945.105825,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1990,2945.105825,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1991,2995.400168,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1991,2995.400168,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1991,2995.400168,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1991,2995.400168,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1991,2995.400168,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1991,2995.400168,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1991,2995.400168,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1991,2995.400168,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1991,2995.400168,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1991,2995.400168,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1992,2646.58452,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1992,2646.58452,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1992,2646.58452,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1992,2646.58452,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1992,2646.58452,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1992,2646.58452,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1992,2646.58452,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1992,2646.58452,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1992,2646.58452,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1992,2646.58452,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1993,2600.136728,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1993,2600.136728,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1993,2600.136728,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1993,2600.136728,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1993,2600.136728,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1993,2600.136728,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1993,2600.136728,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1993,2600.136728,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1993,2600.136728,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1993,2600.136728,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1994,2970.080616,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1994,2970.080616,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1994,2970.080616,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1994,2970.080616,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1994,2970.080616,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1994,2970.080616,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1994,2970.080616,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1994,2970.080616,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1994,2970.080616,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1994,2970.080616,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1995,2876.800246,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1995,2876.800246,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1995,2876.800246,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1995,2876.800246,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1995,2876.800246,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1995,2876.800246,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1995,2876.800246,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1995,2876.800246,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1995,2876.800246,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1995,2876.800246,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1996,2722.608216,248.372781065089,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1996,2722.608216,248.372781065089,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1996,2722.608216,248.372781065089,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1996,2722.608216,248.372781065089,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1996,2722.608216,248.372781065089,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1996,2722.608216,248.372781065089,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1996,2722.608216,248.372781065089,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1996,2722.608216,248.372781065089,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1996,2722.608216,248.372781065089,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1996,2722.608216,248.372781065089,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1997,2816.605638,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1997,2816.605638,-999,27013302,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1997,2816.605638,-999,27013305,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1997,2816.605638,-999,27013309,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1997,2816.605638,-999,27013310,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1997,2816.605638,-999,27013311,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1997,2816.605638,-999,27013312,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1997,2816.605638,-999,27013313,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1997,2816.605638,-999,27013314,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1997,2816.605638,-999,27013315,-999,0,0,0,1,"MN","SB"
"nhdhr_120018114",1998,3259.571654,-999,27013300,-999,0,0,6,1,"MN","SB"
"nhdhr_120018114",1998,3259.571654,-999,27013302,-999,0,0,0,1,"MN","SB"
