P_terminal,P_no_fishing,P_no_fishing_adjusted,P_no_env,P_one_env
0.608394179,0.871006197,0.733628781,0.677555597,0.707509522
0.387702419,0.618920275,0.628167131,0.377660292,0.380397263
0.178688109,0.872279041,0.90173614,0.164028493,0.241895598
0.276159966,0.407931863,0.423743174,0.276695119,0.300620795
0.109050437,0.635130826,0.632356331,0.148572341,2.191741267
0.442562636,0.535029499,0.6533462,0.391354472,0.361284162
0.361537817,0.579324226,0.576984169,0.364138774,0.363334215
0.300682829,0.462437475,0.433377708,0.345085115,0.611155893
0.170068408,0.576737053,0.50487534,0.211686822,0.242301692
0.43929416,0.85575957,1.174511362,0.357191847,0.393833457
0.375526891,0.491254744,1.128542891,0.253098822,0.344949579
0.414176796,0.615461928,0.687113894,0.378032983,0.395394409
0.207902494,0.886940603,0.862181528,0.226829647,0.256259499
0.590363995,0.817276787,1.17663536,0.424257966,0.303173224
0.660886509,0.777997136,1.894135522,0.382893205,0.372459169
0.161997381,0.435893894,0.396927264,0.248964077,0.253455563
0.403243347,0.580048274,0.552658527,0.445958921,0.539449614
0.761133972,0.893039373,1.766299188,0.55712976,0.441434999
0.023377478,0.258008414,-4.892577254,0.314990479,0.188285257
0.420018038,0.535574457,0.539978765,0.441592783,0.443289409
0.773922211,0.972865133,0.919680626,0.839973,1.170066648
0.256619553,0.447985897,0.488736491,0.232433084,0.365355724
0.327194407,0.424113609,0.47945174,0.301195401,0.307142277
0.03273663,0.044558251,0.105450752,0.01665016,0.014135305
0.010397691,0.015088525,0.014067289,0.013282,0.01516106
0.236455673,0.474968088,0.465098565,0.274868609,0.285552144
0.346847278,0.526513908,0.589102379,0.313396146,0.348242574
0.225595968,0.311140866,0.28213944,0.298400415,1.322931346
0.5580124,0.878446273,0.996128785,0.426848829,0.351099985
0.97003802,1.116920532,6.079399486,0.327761112,0.290039166
0.581902891,0.693060304,0.694405654,0.583015192,0.713346272
0.231014312,0.493717483,0.488052077,0.243390836,0.250363295
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
