P_terminal,P_no_fishing,P_no_fishing_adjusted,P_no_env,P_one_env
0.360718116,0.734249115,0.737118476,0.356834269,0.350080719
0.18178347,0.222267546,0.200933716,0.214836851,0.255494448
0.298009908,0.458184093,0.413764325,0.337873574,0.373914712
0.325102999,0.380210506,0.33251443,0.430530229,0.4945481
0.212376994,0.42379133,0.410627398,0.224512879,0.214093591
0.187054136,0.390243534,0.411668682,0.215466694,0.237139868
0.278237507,0.332616742,0.313268687,0.302896939,0.272598243
0.019051522,0.292280389,0.241195655,0.05954917,0.041158938
0.159525269,0.589742438,0.530503722,0.201788161,0.155315582
0.397986094,0.583846092,0.580257828,0.402051949,0.397417954
0.053292535,0.113852763,0.106230322,0.065103773,0.052317464
0.540601388,0.69700497,0.609950071,0.565765101,0.536072431
0.20413171,0.382175666,0.370745701,0.220891871,0.203066981
0.46147568,0.622694231,0.674470979,0.430230623,0.459204457
0.39584841,0.529491974,0.527912343,0.397412533,0.381496125
0.367398533,0.514940374,0.99252199,0.185556118,0.820165444
0.574031229,0.742192916,1.307706938,0.423862064,0.388196273
0.271958029,0.495499487,5.463892894,0.129500018,0.119988486
0.412709005,0.547023606,0.598481093,0.379668532,0.527273953
0.794987683,0.982098709,3.149554628,0.354938047,0.228780493
0.299855441,0.439010715,0.411128649,0.366818421,0.276797891
0.403973474,0.507310927,0.628295944,0.347942015,0.304960099
0.659979381,0.854039711,1.755124562,0.398033999,0.326821174
0.086820469,0.618441761,0.595561938,0.137365904,0.061479856
0.065195698,0.133009821,0.122254743,0.114459524,0.295286551
0.192086097,0.405111358,0.429417557,0.215381935,0.582966139
0.86801962,1.121232079,2.308911347,0.496165696,0.337885369
0.118070757,0.312150401,0.281402113,0.189985944,0.541137703
0.385809633,0.588547125,0.588754639,0.385711563,0.494215314
0.500200793,0.661456395,1.764602655,0.411964519,0.475419163
0.463789746,0.551349456,0.540224422,0.471973781,0.621986847
0.712332425,0.896174365,2.013450747,0.416461361,0.417772368
0.344042676,0.505259773,0.662874399,0.275155013,0.273158958
0.185031719,0.623664651,0.605214574,0.199962464,0.205074569
0.183900799,0.270979571,0.377318187,0.160610545,0.160903728
0.498965367,0.660492672,1.410757507,0.354107611,0.348014768
0.410870465,0.634126257,0.622101654,0.420542619,0.431904335
0.468738294,0.625381182,0.901040247,0.353141083,0.352408117
0.353094051,0.540984025,0.537235256,0.357361119,0.351121375
0.287127557,0.493406893,0.528060279,0.304842994,0.304624562
0.289837443,0.539964091,0.734412097,0.308965495,0.351023282
0.303975281,0.482313974,0.545394576,0.285935182,0.288266443
0.359206357,0.600147759,0.698845587,0.318953006,0.310850756
0.212675474,0.32951434,0.315136903,0.231320263,0.306886393
0.662528218,0.899808621,0.806382131,0.726498999,0.809665083
0.344265414,0.502036228,0.55782847,0.343818391,0.337290154
0.521697304,0.642828134,0.849467198,0.441460577,0.412688293
0.360161703,0.512531113,0.519356074,0.355360793,0.351486164
0.3173261,0.497902836,0.50711475,0.322542136,0.346244488
0.051663227,0.091187053,0.096087918,0.048356846,0.069327956
0.09950187,0.414742509,0.384374965,0.18514577,0.063775235
0.146571748,0.307614095,0.326578726,0.185889653,3.390537453
0.274045672,0.482068578,3.96831249,0.234438986,1.757665415
0.312011712,0.440104947,0.636733989,0.267598118,0.398325729
0.11561995,0.205981102,0.188082021,0.136965991,0.689206086
0.195068881,0.394420065,0.374921506,0.250087182,0.39962089
0.444110529,0.596135562,0.829941604,0.347017925,2.733728475
0.294402436,0.3764723,0.950143536,0.254293048,0.392446134
0.40163054,0.579271412,0.591406083,0.397601141,0.397599916
0.272027731,0.361417624,1.925764238,0.195391597,0.202407273
0.270596907,0.430844176,0.437572495,0.286835732,0.295655164
0.076556853,0.258164946,0.281706053,0.058116893,0.034053049
0.523558357,0.736553768,6.242578815,0.322535126,0.346754996
0.191866318,0.333286769,0.333649524,0.198550734,0.198345112
0.334612895,0.612265555,9.154763413,0.338919249,0.458897818
