P_terminal,P_no_fishing,P_no_fishing_adjusted,P_no_env,P_one_env
0.073022093,0.151103061,0.139151714,0.115398159,0.147082937
0.103883965,0.178469835,0.168046413,0.117714152,0.147589016
0.16831096,0.275843013,0.204141384,0.215665848,0.251618463
0.317396151,0.473301553,0.436709841,0.344801462,0.36665626
0.518422477,0.910603551,0.870216025,0.593864326,0.632575021
0.401137098,0.564863471,0.569007993,0.397957126,0.394955706
0.456030072,0.589508906,0.714609845,0.387502414,0.446880272
0.429759784,0.537969715,0.683412365,0.375447503,0.427322808
0.627823762,0.737537197,1.583488104,0.416011969,0.617153056
0.667207687,0.785639175,1.300348775,0.43773473,0.65791607
0.177163785,0.396975102,0.41686198,0.213877929,0.238520105
0.514919096,0.602403156,0.910607737,0.427853525,0.444667049
0.806891842,0.897617081,0.874162623,0.833650068,0.800313587
0.031335694,0.103740883,0.104671434,0.047597609,0.107128831
0.52473489,0.705715857,0.678298703,0.537888158,0.521427012
0.393718986,0.546113282,0.570624329,0.375477982,0.395397912
0.143618528,0.384292898,0.365171474,0.176467095,0.124973075
0.406853363,0.517739142,1.006973328,0.270420243,0.220146286
0.008403636,0.020585577,0.02084307,0.009911815,0.008688527
0.263943283,0.380790882,0.394446124,0.276476029,0.346320089
0.177443116,0.276597519,0.305214591,0.179314475,0.295293358
0.180221285,0.206586959,0.204427667,0.183455954,0.20048518
0.112205664,0.228941748,0.215080887,0.141557397,0.095268207
0.14437962,0.508191284,0.453658543,0.293841999,0.697794754
0.134074912,0.433943241,0.406730806,0.194687445,0.103951477
0.212300191,0.395810125,0.379557508,0.246422973,0.345171038
0.180310961,0.317759189,0.336301106,0.213282033,0.321912812
0.25444091,0.454875331,0.46158343,0.310140519,0.518666051
0.448937626,0.592913722,0.59517438,0.446806589,0.447669534
0.443531583,0.610359914,0.888650461,0.364521785,0.439433774
0.204440382,0.332851799,0.297606814,0.27236745,0.528638329
1.446295032,1.61095494,19.09437134,0.331978612,0.235183263
0.495400138,0.644207636,0.622452748,0.506837565,0.572704568
0.474853854,0.748178268,0.659263056,0.699562442,1.601965709
0.147583782,0.322976073,0.31703164,0.155659771,0.379406357
0.249631687,0.435713889,0.48301312,0.216337989,0.211958197
0.429599706,0.640375631,0.784260656,0.376899204,0.377100849
0.473698307,0.77400992,0.832714708,0.42857904,0.414714934
0.302690597,0.547313654,0.550086275,0.300553152,0.298067027
0.331448553,0.634375892,0.57852429,0.437061553,0.465523643
0.596214938,0.745423066,0.749791431,0.591823827,0.58599315
0.364871783,0.585683873,0.591742305,0.35932837,0.35339066
1.362953563,1.404434442,132.5180032,0.055001744,0.05537797
0.039433657,0.132320617,0.198393591,0.0763555,0.140775322
0.074901797,0.712762031,0.66676716,0.110160007,0.197030275
0.449274759,0.654989302,0.637996827,0.469670814,0.538881494
0.029492481,0.048799914,0.051448908,0.029582879,0.031512411
0.095072651,0.139914561,0.167806453,0.111767311,0.099340595
0.2171793,0.308988836,0.381663439,0.173854371,0.385612445
0.107144904,0.332317409,0.340060827,0.19226069,0.601285334
0.264203033,0.384161642,0.415533213,0.281611527,0.316240296
0.21623594,0.616713385,0.548259668,0.257267037,0.362451706
1.016086751,1.169458056,3.916793968,0.458232195,0.44800602
0.499835701,0.621984082,1.329100666,0.345749867,0.831989233
0.298333163,0.523167177,0.583254985,0.275904922,0.274594583
0.425060671,0.587703082,0.600413333,0.411889283,0.389032906
0.392608125,0.553376505,0.553196176,0.422619716,0.396199126
0.585402288,0.744013744,2.722718314,0.35333803,0.512350834
0.385260671,0.589500063,0.619812304,0.370510592,0.370666687
0.413301079,0.642081685,1.077240444,0.374727333,0.406207294
0.082971962,0.583095528,-1.815842367,0.244646634,0.357871905
